date,Alexis Arguello,Antonio Cervantes,Davey Moore,Julio Cesar Chavez,Larry Holmes,Marvin Hagler,Michael Spinks,Muhammad Ali,Roberto Duran,Sugar Ray Leonard,Thomas Hearns
1978-11-11,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2012.10038733,1595.53100765,2266.63221286,2070.0408306,1792.76343256,1634.04140104
1978-12-08,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2012.10038733,1595.53100765,2266.63221286,2076.07923937,1792.76343256,1634.04140104
1978-12-09,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2012.10038733,1595.53100765,2266.63221286,2076.07923937,1831.2792841,1663.56222641
1978-12-15,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2012.10038733,1603.61782365,2266.63221286,2076.07923937,1831.2792841,1663.56222641
1979-01-11,2014.12479852,2100.68504688,2070.99799421,,1949.31140229,2012.10038733,1603.61782365,2266.63221286,2076.07923937,1861.89956121,1725.01314798
1979-01-18,2014.12479852,2107.65153826,2070.99799421,,1949.31140229,2012.10038733,1603.61782365,2266.63221286,2076.07923937,1861.89956121,1725.01314798
1979-01-31,2014.12479852,2107.65153826,2070.99799421,,1949.31140229,2012.10038733,1603.61782365,2266.63221286,2076.07923937,1861.89956121,1732.88952906
1979-02-03,2014.12479852,2107.65153826,2070.99799421,,1949.31140229,2025.69103161,1603.61782365,2266.63221286,2076.07923937,1861.89956121,1732.88952906
1979-02-04,2029.33703036,2107.65153826,2070.99799421,,1949.31140229,2025.69103161,1603.61782365,2266.63221286,2076.07923937,1861.89956121,1732.88952906
1979-02-11,2029.33703036,2107.65153826,2070.99799421,,1949.31140229,2025.69103161,1603.61782365,2266.63221286,2076.07923937,1883.71422489,1732.88952906
1979-03-03,2029.33703036,2107.65153826,2070.99799421,,1949.31140229,2025.69103161,1603.61782365,2266.63221286,2076.07923937,1883.71422489,1755.30570254
1979-03-12,2029.33703036,2107.65153826,2070.99799421,,1949.31140229,2026.50436184,1603.61782365,2266.63221286,2076.07923937,1883.71422489,1755.30570254
1979-03-23,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2076.07923937,1883.71422489,1755.30570254
1979-03-24,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2076.07923937,1914.33412351,1755.30570254
1979-04-03,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2076.07923937,1914.33412351,1770.16471478
1979-04-08,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2080.23964779,1914.33412351,1770.16471478
1979-04-21,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2080.23964779,1927.85599454,1770.16471478
1979-05-20,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2026.50436184,1603.61782365,2266.63221286,2080.23964779,1948.93302937,1804.87628167
1979-05-26,2029.33703036,2107.65153826,2070.99799421,,1961.75823537,2028.4249141,1603.61782365,2266.63221286,2080.23964779,1948.93302937,1804.87628167
1979-06-22,2029.33703036,2107.65153826,2070.99799421,,1975.57294933,2028.4249141,1603.61782365,2266.63221286,2093.2220835,1948.93302937,1804.87628167
1979-06-24,2029.33703036,2107.65153826,2070.99799421,,1975.57294933,2028.4249141,1603.61782365,2266.63221286,2093.2220835,1973.82575229,1804.87628167
1979-06-28,2029.33703036,2107.65153826,2070.99799421,,1975.57294933,2028.4249141,1603.61782365,2266.63221286,2093.2220835,1973.82575229,1837.02397821
1979-06-30,2029.33703036,2107.65153826,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,1973.82575229,1837.02397821
1979-07-08,2039.10872503,2107.65153826,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,1973.82575229,1837.02397821
1979-08-12,2039.10872503,2107.65153826,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,2006.52603287,1837.02397821
1979-08-23,2039.10872503,2107.65153826,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,2006.52603287,1846.75489432
1979-08-25,2039.10872503,2111.65895618,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,2006.52603287,1846.75489432
1979-09-22,2039.10872503,2111.65895618,2070.99799421,,1975.57294933,2032.26258254,1603.61782365,2266.63221286,2093.2220835,2006.52603287,1849.10971651
1979-09-28,2039.10872503,2111.65895618,2070.99799421,,2008.88904874,2032.26258254,1603.61782365,2266.63221286,2097.888844,2013.64519305,1849.10971651
1979-10-18,2039.10872503,2111.65895618,2070.99799421,,2008.88904874,2032.26258254,1603.61782365,2266.63221286,2097.888844,2013.64519305,1874.58968272
1979-11-16,2051.97017951,2111.65895618,2070.99799421,,2008.88904874,2032.26258254,1603.61782365,2266.63221286,2097.888844,2013.64519305,1874.58968272
1979-11-24,2051.97017951,2111.65895618,2070.99799421,,2008.88904874,2032.26258254,1610.65860976,2266.63221286,2097.888844,2013.64519305,1874.58968272
1979-11-30,2051.97017951,2111.65895618,2070.99799421,,2008.88904874,2029.87376139,1610.65860976,2266.63221286,2097.888844,2038.11372194,1905.54535735
1980-01-13,2051.97017951,2111.65895618,2070.99799421,,2008.88904874,2029.87376139,1610.65860976,2266.63221286,2102.97046646,2038.11372194,1905.54535735
1980-01-20,2064.43321602,2111.65895618,2070.99799421,,2008.88904874,2029.87376139,1610.65860976,2266.63221286,2102.97046646,2038.11372194,1905.54535735
