date,Evander Holyfield,Felix Trinidad,Julio Cesar Chavez,Lennox Lewis,Mike Tyson,Oscar De La Hoya,Pernell Whitaker,Roy Jones Jr.,Sugar Ray Leonard,Thomas Hearns,Virgil Hill
1990-07-27,2028.35312695,1338.16474126,2133.97649548,1693.90706763,2050.6095194,,1948.78270522,1524.65564366,2173.85103138,2115.50433124,1972.41819375
1990-08-11,2028.35312695,1338.16474126,2133.97649548,1693.90706763,2050.6095194,,1966.75590516,1524.65564366,2173.85103138,2115.50433124,1972.41819375
1990-08-18,2028.35312695,1338.16474126,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1524.65564366,2173.85103138,2115.50433124,1972.41819375
1990-09-06,2028.35312695,1377.7299074,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1524.65564366,2173.85103138,2115.50433124,1972.41819375
1990-09-25,2028.35312695,1377.7299074,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1563.26239803,2173.85103138,2115.50433124,1972.41819375
1990-10-03,2028.35312695,1403.53991645,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1563.26239803,2173.85103138,2115.50433124,1972.41819375
1990-10-25,2041.50036786,1403.53991645,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1563.26239803,2173.85103138,2115.50433124,1972.41819375
1990-10-27,2041.50036786,1403.53991645,2134.16092122,1693.90706763,2050.6095194,,1966.75590516,1563.26239803,2173.85103138,2115.50433124,1977.38045175
1990-10-31,2041.50036786,1403.53991645,2134.16092122,1726.11570789,2050.6095194,,1966.75590516,1563.26239803,2173.85103138,2115.50433124,1977.38045175
1990-11-08,2041.50036786,1403.53991645,2136.22895597,1726.11570789,2050.6095194,,1966.75590516,1590.43003658,2173.85103138,2115.50433124,1977.38045175
1990-11-13,2041.50036786,1434.91976166,2136.22895597,1726.11570789,2050.6095194,,1966.75590516,1590.43003658,2173.85103138,2115.50433124,1977.38045175
1990-11-22,2041.50036786,1434.91976166,2136.22895597,1726.11570789,2050.6095194,,1970.06718587,1590.43003658,2173.85103138,2115.50433124,1977.38045175
1990-12-08,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1970.06718587,1590.43003658,2173.85103138,2115.50433124,1977.38045175
1991-01-06,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1970.06718587,1590.43003658,2173.85103138,2115.50433124,1983.36989346
1991-01-31,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1970.06718587,1619.26798712,2173.85103138,2115.50433124,1983.36989346
1991-02-09,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1970.06718587,1619.26798712,2131.92941573,2115.50433124,1983.36989346
1991-02-11,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1970.06718587,1619.26798712,2131.92941573,2116.6210113,1983.36989346
1991-02-23,2041.50036786,1434.91976166,2141.10915632,1726.11570789,2057.01931301,,1984.72423687,1619.26798712,2131.92941573,2116.6210113,1983.36989346
1991-03-06,2041.50036786,1434.91976166,2141.10915632,1779.12109354,2057.01931301,,1984.72423687,1619.26798712,2131.92941573,2116.6210113,1983.36989346
1991-03-13,2041.50036786,1444.24283518,2141.10915632,1779.12109354,2057.01931301,,1984.72423687,1619.26798712,2131.92941573,2116.6210113,1983.36989346
1991-03-18,2041.50036786,1444.24283518,2146.45649242,1779.12109354,2067.27496156,,1984.72423687,1619.26798712,2131.92941573,2116.6210113,1983.36989346
1991-04-06,2041.50036786,1444.24283518,2146.45649242,1779.12109354,2067.27496156,,1984.72423687,1619.26798712,2131.92941573,2117.08499616,1983.36989346
1991-04-13,2041.50036786,1444.24283518,2146.45649242,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2117.08499616,1983.36989346
1991-04-19,2061.84601463,1444.24283518,2146.45649242,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2117.08499616,1983.36989346
1991-04-26,2061.84601463,1444.24283518,2147.74183305,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2117.08499616,1983.36989346
1991-05-01,2061.84601463,1464.71054119,2147.74183305,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2117.08499616,1983.36989346
1991-06-03,2061.84601463,1464.71054119,2147.74183305,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-06-21,2061.84601463,1488.10665923,2147.74183305,1779.12109354,2067.27496156,,1984.72423687,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-06-28,2061.84601463,1488.10665923,2147.74183305,1779.12109354,2076.3796216,,1984.72423687,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-07-10,2061.84601463,1506.50760218,2147.74183305,1779.12109354,2076.3796216,,1984.72423687,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-07-12,2061.84601463,1506.50760218,2147.74183305,1813.38937041,2076.3796216,,1984.72423687,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-07-27,2061.84601463,1506.50760218,2147.74183305,1813.38937041,2076.3796216,,2010.61172506,1630.46192211,2131.92941573,2132.91191515,1959.62951498
1991-08-03,2061.84601463,1506.50760218,2147.74183305,1813.38937041,2076.3796216,,2010.61172506,1648.78982093,2131.92941573,2132.91191515,1959.62951498
1991-08-31,2061.84601463,1506.50760218,2147.74183305,1813.38937041,2076.3796216,,2010.61172506,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-09-14,2061.84601463,1506.50760218,2152.54406706,1813.38937041,2076.3796216,,2010.61172506,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-09-30,2061.84601463,1506.50760218,2152.54406706,1838.00096484,2076.3796216,,2010.61172506,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-10-05,2061.84601463,1506.50760218,2152.54406706,1838.00096484,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-10-25,2061.84601463,1524.00496158,2152.54406706,1838.00096484,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-11-11,2061.84601463,1524.00496158,2156.24194012,1838.00096484,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-11-23,2067.62849854,1524.00496158,2156.24194012,1862.55537426,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-12-06,2067.62849854,1570.53922796,2156.24194012,1862.55537426,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
1991-12-13,2067.62849854,1570.53922796,2156.94197424,1862.55537426,2076.3796216,,2027.16913933,1655.52070085,2131.92941573,2132.91191515,1959.62951498
