date,Bruno Arcari,Carlos Monzon,Emile Griffith,Jose Napoles,Ken Buchanan,Luis Manuel Rodriguez,Muhammad Ali,Nicolino Locche,Nino Benvenuti,Vicente Saldivar,Victor Galindez
1967-09-10,1795.06382218,1899.98098404,2162.99245566,2083.09644384,1792.83274393,2161.06860347,2196.96264421,2068.44604528,2181.08730397,2087.02085027,
1967-09-11,1795.06382218,1899.98098404,2162.99245566,2084.19678325,1792.83274393,2161.06860347,2196.96264421,2068.44604528,2181.08730397,2087.02085027,
1967-09-14,1795.06382218,1899.98098404,2162.99245566,2084.19678325,1806.01116176,2161.06860347,2196.96264421,2068.44604528,2181.08730397,2087.02085027,
1967-09-15,1795.06382218,1899.98098404,2162.99245566,2084.19678325,1806.01116176,2161.06860347,2196.96264421,2069.57928792,2181.08730397,2087.02085027,
1967-09-29,1795.06382218,1899.98098404,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2069.57928792,2154.78645092,2087.02085027,
1967-10-04,1795.06382218,1899.98098404,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2072.92848349,2154.78645092,2087.02085027,
1967-10-06,1795.06382218,1902.52627072,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2072.92848349,2154.78645092,2087.02085027,
1967-10-14,1795.06382218,1902.52627072,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2072.92848349,2154.78645092,2107.70842673,
1967-10-18,1795.06382218,1902.52627072,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2073.38404754,2154.78645092,2107.70842673,
1967-10-20,1795.06382218,1906.33957931,2189.29330871,2084.19678325,1806.01116176,2161.25336185,2196.96264421,2073.38404754,2154.78645092,2107.70842673,
1967-10-30,1795.06382218,1906.33957931,2189.29330871,2084.19678325,1819.01975179,2161.25336185,2196.96264421,2073.38404754,2154.78645092,2107.70842673,
1967-11-06,1795.06382218,1906.33957931,2189.29330871,2084.19678325,1819.01975179,2164.12503581,2196.96264421,2073.38404754,2154.78645092,2107.70842673,
1967-11-08,1795.06382218,1906.33957931,2189.29330871,2084.19678325,1819.01975179,2164.12503581,2196.96264421,2076.57788648,2154.78645092,2107.70842673,
1967-11-11,1807.72840345,1906.33957931,2189.29330871,2084.19678325,1819.01975179,2164.12503581,2196.96264421,2076.57788648,2154.78645092,2107.70842673,
1967-11-16,1807.72840345,1906.33957931,2189.29330871,2084.19678325,1819.01975179,2168.45682661,2196.96264421,2076.57788648,2154.78645092,2107.70842673,
1967-11-18,1807.72840345,1919.80936108,2189.29330871,2084.19678325,1819.01975179,2168.45682661,2196.96264421,2076.57788648,2154.78645092,2107.70842673,
