date,Alexander Povetkin,Bernard Hopkins,Floyd Mayweather Jr,Gennady Golovkin,Juan Manuel Marquez,Manny Pacquiao,Miguel Cotto,Saul Alvarez,Sergio Gabriel Martinez,Vitali Klitschko,Wladimir Klitschko
2009-06-06,1917.69629529,2109.4809975,2206.23917901,1744.30519629,2083.95411175,2193.15086956,2062.57441675,1828.0877353,1978.45545377,2089.45860708,2120.08601874
2009-06-13,1917.69629529,2109.4809975,2206.23917901,1744.30519629,2083.95411175,2193.15086956,2077.78054821,1828.0877353,1978.45545377,2089.45860708,2120.08601874
2009-06-20,1917.69629529,2109.4809975,2206.23917901,1744.30519629,2083.95411175,2193.15086956,2077.78054821,1828.0877353,1978.45545377,2089.45860708,2135.16224449
2009-07-11,1917.69629529,2109.4809975,2206.23917901,1769.58813605,2083.95411175,2193.15086956,2077.78054821,1828.0877353,1978.45545377,2089.45860708,2135.16224449
2009-08-08,1917.69629529,2109.4809975,2206.23917901,1769.58813605,2083.95411175,2193.15086956,2077.78054821,1837.53223286,1978.45545377,2089.45860708,2135.16224449
2009-09-15,1917.69629529,2109.4809975,2206.23917901,1769.58813605,2083.95411175,2193.15086956,2077.78054821,1855.14788598,1978.45545377,2089.45860708,2135.16224449
2009-09-19,1917.69629529,2109.4809975,2222.78625894,1769.58813605,2067.40703182,2193.15086956,2077.78054821,1855.14788598,1978.45545377,2089.45860708,2135.16224449
2009-09-26,1917.69629529,2109.4809975,2222.78625894,1769.58813605,2067.40703182,2193.15086956,2077.78054821,1855.14788598,1978.45545377,2101.35439341,2135.16224449
2009-11-14,1917.69629529,2109.4809975,2222.78625894,1769.58813605,2067.40703182,2210.14154992,2060.78986785,1855.14788598,1978.45545377,2101.35439341,2135.16224449
2009-11-21,1917.69629529,2109.4809975,2222.78625894,1778.72315556,2067.40703182,2210.14154992,2060.78986785,1855.14788598,1978.45545377,2101.35439341,2135.16224449
2009-12-02,1917.69629529,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2210.14154992,2060.78986785,1855.14788598,1978.45545377,2101.35439341,2135.16224449
2009-12-05,1933.18565076,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2210.14154992,2060.78986785,1868.21919021,1945.24129496,2101.35439341,2135.16224449
2009-12-12,1933.18565076,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2210.14154992,2060.78986785,1868.21919021,1945.24129496,2106.61457482,2135.16224449
2010-03-06,1933.18565076,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2210.14154992,2060.78986785,1879.3441048,1945.24129496,2106.61457482,2135.16224449
2010-03-13,1940.74086786,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1879.3441048,1945.24129496,2106.61457482,2135.16224449
2010-03-20,1940.74086786,2114.42885096,2222.78625894,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1879.3441048,1945.24129496,2106.61457482,2148.03104364
2010-04-03,1940.74086786,2134.44224652,2222.78625894,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1879.3441048,1945.24129496,2106.61457482,2148.03104364
2010-04-17,1940.74086786,2134.44224652,2222.78625894,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1879.3441048,1990.63911006,2106.61457482,2148.03104364
2010-05-01,1940.74086786,2134.44224652,2237.9144117,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1905.63233253,1990.63911006,2106.61457482,2148.03104364
2010-05-29,1940.74086786,2134.44224652,2237.9144117,1778.72315556,2067.40703182,2217.18248049,2060.78986785,1905.63233253,1990.63911006,2115.00856454,2148.03104364
2010-06-05,1940.74086786,2134.44224652,2237.9144117,1778.72315556,2067.40703182,2217.18248049,2072.33528579,1905.63233253,1990.63911006,2115.00856454,2148.03104364
2010-07-10,1940.74086786,2134.44224652,2237.9144117,1778.72315556,2067.40703182,2217.18248049,2072.33528579,1916.82628572,1990.63911006,2115.00856454,2148.03104364
2010-07-31,1940.74086786,2134.44224652,2237.9144117,1778.72315556,2081.89524996,2217.18248049,2072.33528579,1916.82628572,1990.63911006,2115.00856454,2148.03104364
2010-08-14,1940.74086786,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2217.18248049,2072.33528579,1916.82628572,1990.63911006,2115.00856454,2148.03104364
2010-09-11,1940.74086786,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2217.18248049,2072.33528579,1916.82628572,1990.63911006,2115.00856454,2160.72855841
2010-09-18,1940.74086786,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2217.18248049,2072.33528579,1955.93019014,1990.63911006,2115.00856454,2160.72855841
2010-10-16,1947.05613561,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2217.18248049,2072.33528579,1955.93019014,1990.63911006,2124.31478935,2160.72855841
2010-11-13,1947.05613561,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2229.38221578,2072.33528579,1955.93019014,1990.63911006,2124.31478935,2160.72855841
2010-11-20,1947.05613561,2134.44224652,2237.9144117,1796.03790619,2081.89524996,2229.38221578,2072.33528579,1955.93019014,2035.18429127,2124.31478935,2160.72855841
2010-11-27,1947.05613561,2134.44224652,2237.9144117,1796.03790619,2093.28386763,2229.38221578,2072.33528579,1955.93019014,2035.18429127,2124.31478935,2160.72855841
2010-12-04,1947.05613561,2134.44224652,2237.9144117,1796.03790619,2093.28386763,2229.38221578,2072.33528579,1979.60588841,2035.18429127,2124.31478935,2160.72855841
2010-12-16,1947.05613561,2134.44224652,2237.9144117,1816.92200693,2093.28386763,2229.38221578,2072.33528579,1979.60588841,2035.18429127,2124.31478935,2160.72855841
2010-12-18,1954.52661181,2122.74748275,2237.9144117,1816.92200693,2093.28386763,2229.38221578,2072.33528579,1979.60588841,2035.18429127,2124.31478935,2160.72855841
2011-03-05,1954.52661181,2122.74748275,2237.9144117,1816.92200693,2093.28386763,2229.38221578,2072.33528579,2002.64680234,2035.18429127,2124.31478935,2160.72855841
2011-03-12,1954.52661181,2122.74748275,2237.9144117,1816.92200693,2093.28386763,2229.38221578,2085.96426705,2002.64680234,2056.77119177,2124.31478935,2160.72855841
2011-03-19,1954.52661181,2122.74748275,2237.9144117,1816.92200693,2093.28386763,2229.38221578,2085.96426705,2002.64680234,2056.77119177,2132.93267824,2160.72855841
2011-05-07,1954.52661181,2122.74748275,2237.9144117,1816.92200693,2093.28386763,2242.46920359,2085.96426705,2002.64680234,2056.77119177,2132.93267824,2160.72855841
2011-05-21,1954.52661181,2137.75927301,2237.9144117,1816.92200693,2093.28386763,2242.46920359,2085.96426705,2002.64680234,2056.77119177,2132.93267824,2160.72855841
2011-06-17,1954.52661181,2137.75927301,2237.9144117,1848.5260274,2093.28386763,2242.46920359,2085.96426705,2002.64680234,2056.77119177,2132.93267824,2160.72855841
2011-06-18,1954.52661181,2137.75927301,2237.9144117,1848.5260274,2093.28386763,2242.46920359,2085.96426705,2016.8437125,2056.77119177,2132.93267824,2160.72855841
2011-07-02,1954.52661181,2137.75927301,2237.9144117,1848.5260274,2093.28386763,2242.46920359,2085.96426705,2016.8437125,2056.77119177,2132.93267824,2176.85739088
2011-07-16,1954.52661181,2137.75927301,2237.9144117,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2016.8437125,2056.77119177,2132.93267824,2176.85739088
2011-08-27,1994.79669409,2137.75927301,2237.9144117,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2016.8437125,2056.77119177,2132.93267824,2176.85739088
2011-09-10,1994.79669409,2137.75927301,2237.9144117,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2016.8437125,2056.77119177,2151.77680208,2176.85739088
2011-09-17,1994.79669409,2137.75927301,2245.2820203,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2032.85029668,2056.77119177,2151.77680208,2176.85739088
2011-10-01,1994.79669409,2137.75927301,2245.2820203,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2032.85029668,2066.08573042,2151.77680208,2176.85739088
2011-10-15,1994.79669409,2128.64626049,2245.2820203,1848.5260274,2096.43750838,2242.46920359,2085.96426705,2032.85029668,2066.08573042,2151.77680208,2176.85739088
